,precision,recall,f1-score,support
0,0.8210735586481114,0.9157427937915743,0.8658280922431866,451.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,26.0
3,0.18421052631578946,0.14,0.1590909090909091,50.0
4,0.0,0.0,0.0,17.0
5,0.0,0.0,0.0,7.0
6,0.3333333333333333,0.14285714285714285,0.2,7.0
7,0.0,0.0,0.0,2.0
8,0.1875,0.16666666666666666,0.17647058823529413,18.0
9,0.0,0.0,0.0,2.0
accuracy,0.7223168654173765,0.7223168654173765,0.7223168654173765,0.7223168654173765
macro avg,0.15261174182972342,0.13652666033153837,0.14013895895693898,587.0
weighted avg,0.6562572991472249,0.7223168654173765,0.6865749329547834,587.0
