,precision,recall,f1-score,support
0,0.7820069204152249,0.9847494553376906,0.8717454194792671,459.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,26.0
3,0.25,0.08163265306122448,0.12307692307692308,49.0
4,0.0,0.0,0.0,18.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,17.0
9,0.0,0.0,0.0,2.0
accuracy,0.7663865546218488,0.7663865546218488,0.7663865546218488,0.7663865546218488
macro avg,0.10320069204152249,0.10663821083989151,0.09948223425561901,595.0
weighted avg,0.6238507167572912,0.7663865546218488,0.6826250702046266,595.0
