,precision,recall,f1-score,support
0,0.8007662835249042,0.926829268292683,0.8591983556012333,451.0
1,0.0,0.0,0.0,7.0
2,0.16666666666666666,0.037037037037037035,0.06060606060606061,27.0
3,0.15,0.12244897959183673,0.1348314606741573,49.0
4,0.0,0.0,0.0,17.0
5,0.0,0.0,0.0,7.0
6,0.0,0.0,0.0,7.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,17.0
9,0.0,0.0,0.0,2.0
accuracy,0.7240204429301533,0.7240204429301533,0.7240204429301533,0.7240204429301533
macro avg,0.11174329501915707,0.10863152849215567,0.10546358768814512,587.0
weighted avg,0.6354269060813148,0.7240204429301533,0.6741764285954915,587.0
