,precision,recall,f1-score,support
0,0.8238747553816047,0.9172113289760349,0.8680412371134021,459.0
1,0.0,0.0,0.0,7.0
2,0.0,0.0,0.0,27.0
3,0.14634146341463414,0.12244897959183673,0.13333333333333333,49.0
4,0.0,0.0,0.0,18.0
5,0.0,0.0,0.0,6.0
6,0.5,0.14285714285714285,0.2222222222222222,7.0
7,0.0,0.0,0.0,3.0
8,0.21052631578947367,0.2222222222222222,0.21621621621621623,18.0
9,1.0,0.5,0.6666666666666666,2.0
accuracy,0.7265100671140939,0.7265100671140939,0.7265100671140939,0.7265100671140939
macro avg,0.2680742534585713,0.19047396736472363,0.21064796755518406,596.0
weighted avg,0.6621119431404097,0.7265100671140939,0.6908473858207477,596.0
