Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
role_based_few_shot_3,deepseek-14b,bitter frustration,0.0,0.0,0.0,0.0,492.0,6.0,6.0,492.0,0.0
role_based_few_shot_3,deepseek-14b,impatience,0.0,0.0,0.0,0.0,266.0,0.0,0.0,266.0,0.0
role_based_few_shot_3,deepseek-14b,mocking,0.0,0.0,0.0,0.0,176.0,13.0,13.0,176.0,0.0
role_based_few_shot_3,deepseek-14b,irony,0.0,0.0,0.0,0.0,64.0,13.0,13.0,64.0,0.0
role_based_few_shot_3,deepseek-14b,vulgarity,0.0,0.0,0.0,0.0,71.0,4.0,4.0,71.0,0.0
role_based_few_shot_3,deepseek-14b,threat,0.0,0.0,0.0,0.0,23.0,3.0,3.0,23.0,0.0
role_based_few_shot_3,deepseek-14b,identify attack/name calling,0.0,0.0,0.0,0.0,28.0,9.0,9.0,28.0,0.0
role_based_few_shot_3,deepseek-14b,none,0.8485849056603774,0.7983137341912581,0.7983137341912581,0.8226820624214016,4507.0,4240.0,642.0,909.0,0.0
role_based_few_shot_3,deepseek-14b,entitlement,0.0,0.0,0.0,0.0,70.0,0.0,0.0,70.0,0.0
role_based_few_shot_3,deepseek-14b,insulting,0.07012002526847758,0.6379310344827587,0.6379310344827587,0.1263517359134889,174.0,1583.0,1472.0,63.0,0.0
