,Strategy,Modelo,Tbdf,Precision,Recall,Accuracy,F1-score,Real_samples,Predicted_samples,Fp,Fn,Allucination Rate
0,auto_cot,deepseek-14b,bitter frustration,0.17796610169491525,0.6774193548387096,0.6774193548387096,0.28187919463087246,186.0,708.0,582.0,60.0,0.0
1,auto_cot,deepseek-14b,impatience,0.24242424242424243,0.06349206349206349,0.06349206349206349,0.10062893081761007,126.0,33.0,25.0,118.0,0.0
2,auto_cot,deepseek-14b,mocking,0.22857142857142856,0.16494845360824742,0.16494845360824742,0.19161676646706588,97.0,70.0,54.0,81.0,0.0
3,auto_cot,deepseek-14b,irony,0.0,0.0,0.0,0.0,30.0,1.0,1.0,30.0,0.0
4,auto_cot,deepseek-14b,vulgarity,1.0,0.08108108108108109,0.08108108108108109,0.15,37.0,3.0,0.0,34.0,0.0
5,auto_cot,deepseek-14b,threat,0.7,0.5384615384615384,0.5384615384615384,0.6086956521739131,13.0,10.0,3.0,6.0,0.0
6,auto_cot,deepseek-14b,identify attack/name calling,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0
7,auto_cot,deepseek-14b,none,0.872093023255814,0.7624398073836276,0.7624398073836276,0.8135883528404225,1869.0,1634.0,209.0,444.0,0.0
8,auto_cot,deepseek-14b,entitlement,0.0,0.0,0.0,0.0,22.0,3.0,3.0,22.0,0.0
9,auto_cot,deepseek-14b,insulting,0.0,0.0,0.0,0.0,69.0,0.0,0.0,69.0,0.0
10,auto_cot,deepseek-8b,bitter frustration,0.2590909090909091,0.3064516129032258,0.3064516129032258,0.28078817733990147,186.0,220.0,163.0,129.0,0.0
11,auto_cot,deepseek-8b,impatience,0.05952380952380952,0.7142857142857143,0.7142857142857143,0.10989010989010989,126.0,1512.0,1422.0,36.0,0.0
12,auto_cot,deepseek-8b,mocking,0.2138728323699422,0.38144329896907214,0.38144329896907214,0.2740740740740741,97.0,173.0,136.0,60.0,0.0
13,auto_cot,deepseek-8b,irony,0.027777777777777776,0.03333333333333333,0.03333333333333333,0.030303030303030304,30.0,36.0,35.0,29.0,0.0
14,auto_cot,deepseek-8b,vulgarity,0.75,0.08108108108108109,0.08108108108108109,0.14634146341463414,37.0,4.0,1.0,34.0,0.0
15,auto_cot,deepseek-8b,threat,0.75,0.23076923076923078,0.23076923076923078,0.35294117647058826,13.0,4.0,1.0,10.0,0.0
16,auto_cot,deepseek-8b,identify attack/name calling,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0
17,auto_cot,deepseek-8b,none,0.9058823529411765,0.24719101123595505,0.24719101123595505,0.3883984867591425,1869.0,510.0,48.0,1407.0,0.0
18,auto_cot,deepseek-8b,entitlement,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0
19,auto_cot,deepseek-8b,insulting,0.3333333333333333,0.014492753623188406,0.014492753623188406,0.027777777777777776,69.0,3.0,2.0,68.0,0.0
20,auto_cot,gemma2_9b,bitter frustration,0.21915285451197053,0.6397849462365591,0.6397849462365591,0.32647462277091904,186.0,543.0,424.0,67.0,0.0
21,auto_cot,gemma2_9b,impatience,0.058898847631242,0.36507936507936506,0.36507936507936506,0.10143329658213891,126.0,781.0,735.0,80.0,0.0
22,auto_cot,gemma2_9b,mocking,0.28865979381443296,0.28865979381443296,0.28865979381443296,0.28865979381443296,97.0,97.0,69.0,69.0,0.0
23,auto_cot,gemma2_9b,irony,0.034482758620689655,0.1,0.1,0.05128205128205128,30.0,87.0,84.0,27.0,0.0
24,auto_cot,gemma2_9b,vulgarity,0.3333333333333333,0.05405405405405406,0.05405405405405406,0.09302325581395349,37.0,6.0,4.0,35.0,0.0
25,auto_cot,gemma2_9b,threat,0.2631578947368421,0.38461538461538464,0.38461538461538464,0.3125,13.0,19.0,14.0,8.0,0.0
26,auto_cot,gemma2_9b,identify attack/name calling,0.12,0.23076923076923078,0.23076923076923078,0.15789473684210525,13.0,25.0,22.0,10.0,0.0
27,auto_cot,gemma2_9b,none,0.9383408071748879,0.4478330658105939,0.4478330658105939,0.6063020644693952,1869.0,892.0,55.0,1032.0,0.0
28,auto_cot,gemma2_9b,entitlement,0.3333333333333333,0.045454545454545456,0.045454545454545456,0.08,22.0,3.0,2.0,21.0,0.0
29,auto_cot,gemma2_9b,insulting,0.6666666666666666,0.08695652173913043,0.08695652173913043,0.15384615384615385,69.0,9.0,3.0,63.0,0.0
30,auto_cot,gemma_7b,bitter frustration,0.17142857142857143,0.45161290322580644,0.45161290322580644,0.2485207100591716,186.0,490.0,406.0,102.0,0.0
